assistance_year,assistance_term,university,age,county,number_of_students
2020,3,İzmir Yüksek Teknoloji Enstitüsü,22,KARTAL,26
2020,3,İstanbul Medeniyet Üniversitesi,23,MALTEPE,27
2020,2,MARMARA ÜNİVERSİTESİ ,22,KARTAL,26
2021,2021,Bahçeşehir Üniversitesi,21,ATAŞEHİR,27
2020,2021,Gümüşhane Üniversitesi,25,ATAŞEHİR,30
2021,2021,Trakya Üniversitesi,26,KARTAL,26
,1,Yeditepe Üniversitesi,27,KAĞITHANE,27
2020,3,Gebze Teknik Üniversitesi,21,PENDİK,27
,1,İstanbul Üniversitesi,23,BEŞİKTAŞ,26
2021,2021,İstanbul Üniversitesi,23,ARNAVUTKÖY,26
2021,2021,Tekirdağ Namık Kemal,25,ESENLER,26
,3,İstanbul Üniversitesi,22,BEYLİKDÜZÜ,26
,1,Sakarya Üniversitesi,26,PENDİK,26
,1,İstanbul Ayvansaray Üniversitesi,24,KÜÇÜKÇEKMECE,28
,3,Çankırı Karatekin Üniversitesi,24,PENDİK,26
,1,Anadolu Üniversitesi,24,PENDİK,27
,2,Kütahya Dumlupınar Üniversitesi,24,AVCILAR,28
,3,Doğuş Üniversitesi,24,PENDİK,27
